keywords,siglaTipo,sexo
 logradouro público.,PL,masculino
Criação,PL,masculino
 Programa Terceira Idade com Dignidade,PL,masculino
 princípios,PL,masculino
 diretrizes,PL,masculino
 Instituição de Longa Permanência para Idosos (ILPI),PL,masculino
 envelhecimento ativo,PL,masculino
 política pública,PL,masculino
 idoso.,PL,masculino
Criação,PL,masculino
 Política Nacional de Incentivo à Prática de Esportes para Idosos,PL,masculino
 incentivo,PL,masculino
 esporte,PL,masculino
 bem-estar,PL,masculino
 qualidade de vida,PL,masculino
 idoso,PL,masculino
 envelhecimento ativo..,PL,masculino
Concessão,PL,masculino
 Título de capital nacional,PL,masculino
 Capital Nacional da Cuca,PL,masculino
 Rolante (RS).,PL,masculino
Alteração,PL,masculino
 Código Penal,PL,masculino
 dano qualificado,PL,masculino
 patrimônio,PL,masculino
 inclusão,PL,masculino
 Distrito Federal.,PL,masculino
Alteração,PL,masculino
 Código Eleitoral (1965),PL,masculino
 aumento,PL,masculino
 pena,PL,masculino
 crime eleitoral,PL,masculino
 produção,PL,masculino
 divulgação,PL,masculino
 Notícia falsa (fake news),PL,masculino
 propaganda eleitoral,PL,masculino
 partido político,PL,masculino
 candidato a cargo eletivo,PL,masculino
 agravação penal,PL,masculino
 imprensa,PL,masculino
 rede social,PL,masculino
 Aplicativo Whatsapp,PL,masculino
 Facebook.,PL,masculino
Alteração,PL,masculino
 Lei de Segurança Nacional,PL,masculino
 aumento,PL,masculino
 pena,PL,masculino
 Crime contra a segurança nacional,PL,masculino
 Crime contra a ordem política e social,PL,masculino
 incitação à violência,PL,masculino
 propaganda,PL,masculino
 produção,PL,masculino
 divulgação,PL,masculino
 Notícia falsa (fake news),PL,masculino
 rede social,PL,masculino
  Aplicativo Whatsapp,PL,masculino
 Facebook,PL,masculino
 circunstância agravante,PL,masculino
 agravação penal,PL,masculino
 depredação,PL,masculino
 destruição,PL,masculino
 patrimônio público.,PL,masculino
Alteração,PL,masculino
 Código Civil (2002),PL,masculino
 Partilha de bens,PL,masculino
 concubinato,PL,masculino
 comprovação,PL,masculino
 contribuição,PL,masculino
 construção,PL,masculino
 patrimônio.,PL,masculino
Alteração,PL,masculino
 Código de Processo Civil (2015),PL,masculino
 ampliação,PL,masculino
 impenhorabilidade,PL,masculino
 Pequena propriedade rural.,PL,masculino
Alteração,PL,masculino
 Lei do Pregão,PL,masculino
 licitação,PL,masculino
 empresa,PL,masculino
 Cadastro Nacional de Empresas Inidôneas e Suspensas (CEIS),PL,masculino
 divulgação,PL,masculino
 Controladoria Geral da União (CGU).,PL,masculino
Alteração,PL,masculino
 Lei dos Planos de Saúde,PL,masculino
 legitimidade,PL,masculino
 beneficiário,PL,masculino
 plano de saúde coletivo por adesão,PL,masculino
 ação judicial,PL,masculino
 rescisão do contrato,PL,masculino
 rescisão unilateral.,PL,masculino
Alteração,PL,masculino
 Código Civil (2002),PL,masculino
 desconsideração,PL,masculino
 salário,PL,masculino
 participação nos lucros,PL,masculino
 pensão alimentícia,PL,masculino
 menor de idade.,PL,masculino
Regulamentação,PL,masculino
 contrato de parceria,PL,masculino
 academia de ginástica,PL,masculino
 academia-parceira,PL,masculino
  entidade desportiva,PL,masculino
  profissional-parceiro,PL,masculino
 prestação de serviços.,PL,masculino
Alteração,PL,NA
 Consolidação das Leis do Trabalho (CLT),PL,NA
 período,PL,NA
 férias,PL,NA
 empregado,PL,NA
 filho,PL,NA
 pessoa com deficiência,PL,NA
 férias escolares.,PL,NA
Alteração,PL,NA
 Lei do PNV,PL,NA
 inclusão,PL,NA
 rodovia,PL,NA
 Rio Grande do Norte,PL,NA
 Paraíba,PL,NA
 Pernambuco,PL,NA
 Relação Descritiva das Rodovias do Sistema Rodoviário Federal.,PL,NA
Alteração,PL,masculino
 Lei Antirracismo,PL,masculino
 aumento,PL,masculino
 pena,PL,masculino
 crime,PL,masculino
 discriminação racial,PL,masculino
 discriminação religiosa,PL,masculino
 preconceito racial,PL,masculino
 discriminação,PL,masculino
 cor de pele,PL,masculino
 grupo étnico,PL,masculino
 xenofobia.  _Alteração,PL,masculino
 Código Penal,PL,masculino
 crime contra a honra,PL,masculino
 aumento,PL,masculino
  pena,PL,masculino
 injúria.,PL,masculino
Denominação,PL,feminino
 Rodovia Federal,PL,feminino
 Rondônia,PL,feminino
 homenagem póstuma,PL,feminino
 pecuarista.,PL,feminino
Alteração,PL,feminino
 Lei de Execução Penal,PL,feminino
 aumento,PL,feminino
 cumprimento,PL,feminino
 pena,PL,feminino
 progressão de regime prisional,PL,feminino
 obrigatoriedade,PL,feminino
 avaliação multiprofissional,PL,feminino
 preso condenado.,PL,feminino
Alteração,PL,feminino
 Código de Defesa do Consumidor,PL,feminino
 prática abusiva,PL,feminino
 recusa,PL,feminino
 fornecedor,PL,feminino
 pagamento em dinheiro,PL,feminino
 comércio eletrônico.,PL,feminino
Proibição,PL,masculino
 motorista,PL,masculino
 transporte público coletivo,PL,masculino
 transporte de passageiro,PL,masculino
 acumulação,PL,masculino
 atividade profissional,PL,masculino
 cobrador de transporte coletivo.,PL,masculino
Alteração,PL,masculino
 Código de Processo Penal,PL,masculino
 busca e apreensão,PL,masculino
 busca domiciliar,PL,masculino
 busca pessoal.,PL,masculino
Portabilidade,PL,masculino
 recipiente transportável,PL,masculino
 Gás Liquefeito de Petróleo (GLP).,PL,masculino
Alteração,PL,masculino
 Lei de Execução Penal,PL,masculino
 remição de pena,PL,masculino
 preso condenado,PL,masculino
 doação de sangue.,PL,masculino
Constituição Federal (1988),PEC,masculino
 investidura em cargo público,PEC,masculino
 servidor público,PEC,masculino
 exoneração a pedido.,PEC,masculino
Alteração,PL,masculino
 Lei de Vigilância Epidemiológica,PL,masculino
 autorização,PL,masculino
 hospital privado,PL,masculino
 soro antipeçonhento,PL,masculino
 Programa Nacional de Imunizações (PNI).,PL,masculino
Alteração,PL,masculino
 Código de Trânsito Brasileiro,PL,masculino
 destinação,PL,masculino
 percentual,PL,masculino
 aplicação,PL,masculino
 receita,PL,masculino
 arrecadação,PL,masculino
 multa de trânsito,PL,masculino
 Sistema Único de Saúde (SUS).,PL,masculino
Alteração,PL,masculino
 Código Penal,PL,masculino
 crime contra a paz pública,PL,masculino
 tipicidade penal,PL,masculino
 divulgação de informação falsa,PL,masculino
 comunicação.,PL,masculino
Alteração,PL,masculino
 lei federal,PL,masculino
 conceituação,PL,masculino
 terrorismo,PL,masculino
 inclusão,PL,masculino
 organização criminosa,PL,masculino
 tipicidade penal,PL,masculino
 aumento,PL,masculino
 pena,PL,masculino
 regime fechado,PL,masculino
 estabelecimento penal de segurança máxima.  _Alteração,PL,masculino
 Lei de Combate ao Crime Organizado,PL,masculino
 aumento,PL,masculino
 pena,PL,masculino
 organização criminosa,PL,masculino
 crime organizado.  _Alteração,PL,masculino
 Código Penal,PL,masculino
 crime contra a paz pública,PL,masculino
  aumento,PL,masculino
 pena,PL,masculino
 associação criminosa.  _Alteração,PL,masculino
 Lei dos Crimes Hediondos,PL,masculino
 inclusão,PL,masculino
 crime hediondo,PL,masculino
 associação criminosa,PL,masculino
 terrorismo.  _Alteração,PL,masculino
 Código de Processo Penal,PL,masculino
  prisão preventiva,PL,masculino
 crime hediondo,PL,masculino
 terrorismo,PL,masculino
 associação criminosa,PL,masculino
 homicídio,PL,masculino
 profissional de segurança pública,PL,masculino
 bloqueio,PL,masculino
 bens.,PL,masculino
Alteração,PL,masculino
 Lei de Execução Penal,PL,masculino
 regulamentação,PL,masculino
 trabalho do preso,PL,masculino
 preso condenado,PL,masculino
 ressarcimento,PL,masculino
 Estado (nação),PL,masculino
 ressocialização.,PL,masculino
Alteração,PL,masculino
 Código Penal,PL,masculino
 tipicidade penal,PL,masculino
 Periclitação da vida e da saúde,PL,masculino
 violência psicológica,PL,masculino
 mulher.,PL,masculino
Obrigatoriedade,PL,masculino
 treinamento,PL,masculino
 professor,PL,masculino
 educação básica,PL,masculino
 ensino fundamental,PL,masculino
 ensino médio,PL,masculino
 treinamento,PL,masculino
 primeiros socorros,PL,masculino
 emergência médica,PL,masculino
 escola.,PL,masculino
Alteração,PL,masculino
 Lei de Comercialização de Energia Elétrica,PL,masculino
 energia de reserva,PL,masculino
 energia eólica,PL,masculino
 realocação.,PL,masculino
Alteração,PL,masculino
 Código de Processo Penal,PL,masculino
 aumento,PL,masculino
 prazo,PL,masculino
 interposição de recurso,PL,masculino
 embargo de declaração.,PL,masculino
Alteração,PL,masculino
 Lei do Setor Elétrico,PL,masculino
 recursos,PL,masculino
 Conta de Desenvolvimento Energético (CDE),PL,masculino
 subvenção,PL,masculino
 tarifa de energia elétrica,PL,masculino
 concessionário (administração pública),PL,masculino
 permissionário (administração pública),PL,masculino
 compensação,PL,masculino
 redução,PL,masculino
 densidade de carga,PL,masculino
 energia elétrica.  _ Alteração,PL,masculino
 Lei da Agência Nacional de Energia Elétrica,PL,masculino
 Agência Nacional de Energia Elétrica (ANEEL),PL,masculino
 cálculo,PL,masculino
 subvenção,PL,masculino
 tarifa de energia elétrica,PL,masculino
 concessionário (administração pública),PL,masculino
 permissionário (administração pública),PL,masculino
 compensação,PL,masculino
